EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status..................................,
2651004,2,1/1/1982,1,,70.3,,,0,2,0,1846.400024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,................................
2651004,2,1/2/1982,1,47.6,188.9,5,13,1,1,0,1846.400024,2,0,0,0,0,47.6,4.2,0,0,3.2,39.2,8.4,2.6,0,0,0,8.2,19.4,2.1,0,9.6,0,9.2,4.2,31,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,...
2651004,2,1/3/1982,1,26,43.4,29,3,1,1,0,1846.400024,2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,26,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/4/1982,1,24.2,57.8,23,5,1,1,0,1846.400024,2,0,0,0,0,10.2,4.6,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,8,0,24.2,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/5/1982,1,42.8,121,11,6,1,1,0,1846.400024,2,0,0,0,0,0,0,0,0,0,0,42.8,8.4,0,0,0,0,0,1.6,16.2,0,0,0,0,0,38.8,13.2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/6/1982,1,57.4,261.2,11,11,1,1,0,1846.400024,2,0,0,0,0,3.2,0,0,0,0,0,57.4,18.4,0,0,0,29,0,0,0,16.4,0,13.6,0,22.4,15.2,38.8,0,2.4,44.4,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/7/1982,1,102.6,229.4,18,7,1,1,0,1846.400024,2,0,0,0,0,0,0,0,28.2,24.2,1.2,0,39.6,26.2,0,0,0,0,102.6,0,0,0,0,0,0,0,0,0,0,0,7.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/8/1982,1,40.8,156,18,7,1,1,0,1846.400024,2,0,0,23.4,0,0,0,0,0,2.2,0,0,0,0,0,0,1.2,0,40.8,0,0,0,0,17.4,32,0,0,0,0,0,0,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/9/1982,1,9,21.2,18,3,1,1,0,1846.400024,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,5.2,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/10/1982,1,46.8,249,2,13,1,1,0,1846.400024,2,0,46.8,0,0,0,5.6,24,32.2,7.4,8.2,4.4,0,29.4,0,0,0,0,31,0,0,0,17.2,0,21.2,0,0,0,7.2,14.4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/11/1982,1,73.4,343.4,14,18,1,1,0,1846.400024,2,0,0,2.2,48.8,28.6,25.6,0,0,0,0,31.4,15.6,0,73.4,24.8,2.2,0,0,0,3.4,40.8,5.4,5.2,3,16.4,0,3.8,2,10.8,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651004,2,1/12/1982,1,22.4,104.8,2,11,1,1,0,1846.400024,2,0,22.4,18.6,0,0,0,2.4,0,0,0,0,2,0,0,15.8,4.2,1.2,5.4,6.6,0,15.4,10.8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/1/1983,1,43.6,165,29,10,1,1,0,2991.199951,2,14.6,0,0,0,8.8,30.4,0,0,0,2.2,0,4.2,0,0,0,0,0,0,15.8,10,0,0,0,0,0,0,0,0,43.6,28,7.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651004,2,1/2/1983,1,62.2,244.6,17,14,1,1,0,2991.199951,2,2.2,4.8,0,0,0,0,0,0,0,9,0,19.8,6.6,0,0,2.8,62.2,1.4,30.2,8,31.8,0,8.2,0,0,0,21,36.6,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,...
2651004,2,1/3/1983,1,60.8,173.6,4,9,1,1,0,2991.199951,2,10,0,14.6,60.8,0,3.2,10.4,0,0,0,0,0,16.4,0,0,0,0,16,30.8,0,0,0,0,0,0,0,0,0,0,0,11.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
