EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2651020,1,1/8/75,1,,23.4,,,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2651020,1,1/9/75,1,51.2,182.5,11,17,1,1,0,,0,3.2,0,0,0,0,0,10.4,12.1,0,2.8,51.2,39.7,1.1,0.1,1.5,0,23.8,0,0.2,0,2.2,9.4,9.6,0,0,0,5.4,7.2,0,2.6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/10/75,1,60,198.3,2,14,1,1,0,,0,0,60,47.6,0,11.2,3,0.3,3.2,0,16.6,12,0.1,0,13.6,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,24,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/11/75,1,35.6,187.6,23,12,1,1,0,,0,2.8,30,1.8,0,0,2.6,0,0,15.2,3.2,0,0,0,0,0,0,0,15.2,0,0,19.4,0,35.6,16.8,21.6,0,0,0,0,23.4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/12/75,1,54,222.9,4,17,1,1,0,,0,3.8,13.5,28,54,1,15.6,10.4,28.6,0,6.6,0,6,17,14,0,0,0,0,0,11,7,2.4,1.8,0,0,0,2.2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/1/76,1,34,191.8,3,11,1,1,0,1614.5,1,0,0,34,0,0,0,0,0,0,0,22,0,0,0,10,24,4.8,5.4,0,0,16.2,0,0,0,0,28,20,26,1.4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/2/76,1,13.4,51.8,27,13,1,1,0,1614.5,1,5.4,8,2,0,0,5,0.8,0,0,0,0,0,0,0,0,1.1,0,2,4.6,1.2,0.6,3.6,0,0,0,0,13.4,4.1,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2651020,1,1/3/76,1,32.6,176.6,4,13,1,1,0,1614.5,1,0,0,21.6,32.6,11.2,0,0,3.6,10.1,4.1,1.6,0,2,0,0.8,0,0,24.2,0,30.4,16.6,0,0,0,0,0,17.8,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/4/76,1,38.2,96,10,7,1,1,0,1614.5,1,0,0,0,0,0,26.2,0,0,14.6,38.2,0,0,0,0,3,0.8,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/5/76,1,49.6,156.7,29,14,1,1,0,1614.5,1,0,0.4,0,0,0,0.2,0,7.4,0.6,21.2,3.4,0,0,0,3.1,0,0,0,0.4,0,0,8.4,0.4,0,12.6,0,24.6,24.4,49.6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
