EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status..................................,
2651023,1,1/9/1975,1,70.4,276.5,12,17,1,1,0,,0,0.8,0.1,0,0,0,0,14,16.8,0,5.6,52,70.4,0.6,0,2.2,0,16.8,0.2,0,0,11.4,25,12,0,0,0,6.6,9,0,33,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,..
2651023,1,1/10/1975,1,74.6,218.6,2,12,1,1,0,,0,0,74.6,43.4,0,8.6,4.6,1.2,7,0,26.6,1.2,0,0,8.8,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,23.2,12.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
2651023,1,1/11/1975,1,45.4,272.2,23,14,1,1,0,,0,35.2,37,0,0.2,0,28.2,0,0,19,4.2,0,0,0,0,0,0,5,11.8,2.4,0,28,0,45.4,25.4,29.2,0,0,0,0,1.2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,..
2651023,1,1/12/1975,1,46.2,229.7,8,19,1,1,0,,0,4.8,18.4,36.2,15.5,4.4,41,8,46.2,17.2,0,0,0,1,16.4,0,0,0,0,2,9,0,0,0,0.4,5,1.2,1.4,1,0,0,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.
2651023,1,1/1/1976,1,27.2,167,26,17,1,1,0,1739.900024,1,8,0,4.8,0,0,0,8.6,0,1,12.2,7,8.2,0,0,5.4,26.4,0,0,6,4.4,3,0,0,0,0.2,27.2,24,19.8,0.8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/2/1976,1,41.9,128.6,18,12,1,1,0,1739.900024,1,10,10.4,0,0,0,4,0.2,0,0,10,0,0,0,0,0,0,0,41.9,9.4,4.5,4.6,7.2,0,20.4,0,0,0,6,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,..
2651023,1,1/3/1976,1,40,152.7,4,10,1,1,0,1739.900024,1,0,0,5.2,40,5,0,0,0,13.6,10,0,0,0,10.3,0,0,0,6.8,26.8,0,24,0,0,0,0,0,11,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/4/1976,1,36.2,97.7,10,7,1,1,0,1739.900024,1,0,0,0,0.5,0,26,0,0,16.8,36.2,0,0,0,0,1.8,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,7.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/5/1976,1,60.8,152,29,15,1,1,0,1739.900024,1,0,0,0,0,0,0,0,8,1,13.4,6,0,0,1.6,1.8,0,0,3,2,0,0.8,9.8,1,0,8,0,18,16.8,60.8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/6/1976,1,77.4,147.9,5,12,1,1,0,1739.900024,1,0,0,1,2,77.4,14.6,0,0,9.8,10.7,6.6,0,1,15.2,0,0,3.8,0.8,0,0,0,0,0,0,0,0,0,5,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/7/1976,1,54.8,127.2,28,9,1,1,0,1739.900024,1,0,0,1.6,0,0,0.8,3.6,26.9,0,6.2,0,0,0,7.4,0.9,0,0,0,0,0,0,0,0,0,0,0,25,54.8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/8/1976,1,42.4,148.9,19,6,1,1,0,1739.900024,1,0,0,0,4.2,31.9,0,0,0,32,37.2,0,1.2,0,0,0,0,0,0,42.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/9/1976,1,38.7,130.9,5,9,1,1,0,1739.900024,1,0,0,0,17.2,38.7,7,24.6,7.8,0,0.6,0,22.8,10.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/10/1976,1,39.6,176.8,17,10,1,1,0,1739.900024,1,8.2,0,0,0,22.2,0,0,0,5.4,0,0,10,0,0,0,0,39.6,30.2,12.2,0,0,0,0,0,0,12,0,0,3.2,0,33.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/11/1976,1,40,150.4,6,8,1,1,0,1739.900024,1,9.2,0,0,39.2,28.6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,6,0,7.8,7.4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/12/1976,1,35.4,159.8,16,9,1,1,0,1739.900024,1,22.2,17.8,0,0,4,0,0,23.8,0,0,0,0,0,0,0,35.4,0,0,0,0,4,0,0,14.2,0,0,24,14.4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/1/1977,1,100.6,334.7,31,18,1,1,0,1980.800049,1,0,0,8,28.4,22.6,18.6,0,3,23,4.8,10.2,5.2,41.4,0,10,0,6.4,16,12.3,5.8,0,0,0,0,0,7.4,0,11,0,0,100.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/2/1977,1,22.2,157.6,23,13,1,1,0,1980.800049,1,21.8,0,21.7,5.3,0,7.6,0,10.6,8.6,4.8,6,0,0,12.4,11.6,13,0,0,0,0,0,0,22.2,0,0,0,12,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,...
2651023,1,1/3/1977,1,43.2,276.6,27,17,1,1,0,1980.800049,1,0,16.2,6.2,41.6,0.6,0,17.8,33.4,6.2,0,0,0,0,0,13.2,22.6,0,0,0,0,5.6,5,1.8,0,0,0,43.2,5,42.2,7.2,8.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/4/1977,1,22.8,93.1,9,11,1,1,0,1980.800049,1,8.8,0,1,4.4,6,0,0,0,22.8,10,0,0,0,0,0,0,0,10.8,0,7.2,14.2,2,5.9,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
