EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status.................................,
2651028,1,1/2/1976,1,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,1,11.6,4.3,9.6,0,26.6,0,0,26.2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,.................
2651028,1,1/3/1976,1,75.4,197.1,20,12,1,1,1,,,0,0,16.8,15.2,0,9.2,0,0.7,0,12.4,14.4,17.4,7.6,0,0,0,0,3.6,0,75.4,9.8,0,0,0,0,14.6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/4/1976,1,54.2,117.6,6,5,1,1,1,,,0,0,0,0,0,54.2,0,0,11,31.4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/5/1976,1,46,157.6,27,10,1,1,1,,,0,0,0,0,0,0,0,15,0,7.8,0,0,0,4.8,0,2,0,0,0,0,0,8.2,0,0,3.2,0,46,25,41,4.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/6/1976,1,58.6,143.3,5,8,1,1,1,,,0,0,0,0,58.6,28.4,0,0,8,11.5,4,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,7,7.2,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/7/1976,1,45.8,149.2,28,6,1,1,1,,,0,0,0,0,0,0,0,30.2,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,25,35.8,45.8,1.6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/8/1976,1,64.2,157.4,9,6,1,1,1,,,0,0,0,23,15.8,0,0,0,64.2,15.7,0,0,0,0,0,0,0,1.5,37.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/9/1976,1,35,101.8,5,6,1,1,1,,,0,0,0,0,35,29.4,10,3,0,0,0,13.2,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/10/1976,1,48,194.3,23,9,1,1,1,,,9.5,0,0,0,25,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,12.5,48,38,0,22.3,0,0,3.6,0,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/11/1976,1,50,159.4,5,8,1,1,1,,,10.8,0,0,5.2,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,14.2,0,0,0,0,0,0,0,5.8,26.2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/12/1976,1,29.4,139.3,19,12,1,1,1,,,26.2,12.2,0,0,0,0,0,9.2,0,0,0,0,0,0,0,15.6,2,0,29.4,0,7.8,0,7.9,10.6,0,0,6.6,10.6,0,0,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/1/1977,1,31.2,122.3,4,8,1,1,1,,,0,0,0,31.2,25,0,0,0,9,9.2,0,14.3,8,0,0,0,12.4,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/2/1977,1,26.2,120.2,24,8,1,1,1,,,0,0,0,0,9.6,5.8,0,0,14.6,0,8.6,0,0,0,0,25.4,12.2,0,0,0,0,0,17.8,26.2,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,...
2651028,1,1/3/1977,1,46,271,4,10,1,1,1,,,0,0,7.2,46,0,0,44,0,19.2,0,0,9.2,0,25,20,38.2,0,0,0,0,0,0,0,0,0,0,25,0,37.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/4/1977,1,25,96.7,9,7,1,1,1,,,13.6,0,0,0,0,0,0,0,25,16.8,0,0,0,0,0,0,0,10,9,18.3,4,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/5/1977,1,12.4,18.6,30,2,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/6/1977,1,59,156.6,20,7,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,2.2,0,0,59,19,31.6,0,1.6,31,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/7/1977,1,25,84.1,15,5,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13.8,0,0,0,0,0,7.8,0,12.5,0,0,0,0,0,0,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/8/1977,1,27.8,175,31,12,1,1,1,,,12,6,0,0,0,0,0,0,0,0,0,0,15,11,12,10,25.2,25.2,0,0,0,0,0,12,2.4,0,0,0,0,16.4,27.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/9/1977,1,25.6,57,16,3,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,25.4,0,0,0,0,0,0,0,0,0,0,0,0,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/10/1977,1,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,0,0,0,0,4.8,2.4,20.6,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,.....................
2651028,1,1/11/1977,1,44.4,176.9,11,8,1,1,1,,,17,36.6,0,0,0,17.6,0,0,0,0,44.4,27.9,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8.4,5,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/1/1978,1,44.2,185.2,19,10,1,1,1,,,0,0,0,0,0,0,35.8,7.2,0,0,0,0,0,10,0,0,0,0,44.2,18,24.7,1.5,0,0,0,4.9,6.4,32.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/2/1978,1,49,75.2,11,7,1,1,1,,,0,0,0,5.2,12.6,0,0,0,1.2,0,49,0,0,0,0,0,0,0,0,0,0,4,0.8,0,0,0,0,2.4,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,...
2651028,1,1/3/1978,1,49,144.3,11,6,1,1,1,,,0,10,22,0,0,0,0,0,0,0,49,32,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,29.5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/6/1978,1,24.2,63.5,17,5,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,24.2,0,1.4,8.2,12.2,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/7/1978,1,32.4,155.6,24,10,1,1,1,,,0,2.2,6.8,0,0,0,0,0,0,0,2.6,0,0,0,12.2,0,19.8,25,0,23,18,13.6,0,32.4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/8/1978,1,16,31.4,11,3,1,1,1,,,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,1.2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/1/1979,1,23.4,58,2,5,1,1,1,,,0,23.4,12,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/2/1979,1,42,115,25,5,1,1,1,,,0,0,0,0,0,0,0,0,0,24.6,0,0,0,8,0,0,0,0,0,0,0,0,0,22,42,0,18.4,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,...
2651028,1,1/3/1979,1,30,83.4,10,6,1,1,1,,,5.4,0,0,0,8,0,0,0,5,30,0,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/4/1979,1,46,109,5,6,1,1,1,,,0,0,0,0,46,0,20.6,0,0,0,0,21.4,0,0,0,5.4,0,7.6,0,8,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/5/1979,1,59,265.2,12,9,1,1,1,,,0,0,0,0,0,0,0,40.6,36,0,0,59,50.6,10,14.4,0,0,0,0,7,0,18.6,0,0,0,0,0,0,0,29,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/7/1979,1,25,69.2,21,7,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3,7.2,0,6.8,8.4,25,0,0,0,17,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
